Horodateur,Quel est votre statut principal ?,Dans quelle filière et quelle année d’études êtes-vous actuellement ?,Quelle(s) méthode(s) utilisez-vous le plus souvent pour réviser ?,"Sur une échelle de 1 à 5, à quel point êtes-vous satisfait(e) de vos méthodes actuelles de révision ?",Décrivez votre dernière session de révision difficile ou frustrante. Que révisiez-vous ? Qu’est-ce qui vous a posé problème ?,"Avez-vous déjà utilisé des applications pour réviser ou suivre vos résultats (par exemple : Anki, Quizlet, Notion, etc.) ? Si oui, lesquelles et qu’en avez-vous pensé ?",Comment suivez-vous actuellement vos résultats et votre progression dans vos études ?,Quel téléphone utilisez-vous principalement ?,Quelles fonctionnalités trouveriez-vous utiles dans une application ou un outil qui améliorerait vos révisions ?,"Si une application répondait parfaitement à vos besoins de révision, dans combien de temps l’adopteriez-vous ?","Souhaitez-vous être recontacté(e) pour participer à de futurs tests ou donner votre avis sur un nouvel outil de révision ? Si oui, indiquez votre adresse e-mail ci-dessous (facultatif)."
04/10/2025 23:14:02,Étudiant(e),Deuxième année en Bachelor de management,Fiche Google Docs,Moyennement satisfait(e),Pas réellement problématique car je ne m’inflige jamais de séance de révision trop complexe.,Duolingo pour les matières linguistiques ,"Je note mes résultats manuellement (papier, tableau, notes sur téléphone, etc.)",iPhone,Génération automatique de cartes (IA),D’ici un mois,Bien sûr ; alexiscedric.fm@gmail.com
04/10/2025 23:28:12,Étudiant(e),"Ingénierie informatique, 4e année.","Flashcards créées à la main, Plateformes web spécifiques",Moyennement satisfait(e),,Aucune.,Je consulte uniquement mon espace étudiant / ENT,iPhone,"Quiz interactifs (questions à choix multiples), Génération automatique de cartes (IA), Confidentialité : données stockées localement, utilisation hors ligne, Prise en charge d’images et d’audio dans les cartes, Rappels de révision (notifications), Suivi de progression (widgets, statistiques)",Immédiatement,
04/10/2025 23:29:14,Étudiant(e),Commerce 4eme,Plateformes web spécifiques,Satisfait(e),"Derriere l’ordi, finance, organisation ",Non,Je consulte uniquement mon espace étudiant / ENT,iPhone,"Révision libre (sans algorithme imposé), Quiz interactifs (questions à choix multiples)",Pas dans l’immédiat,Non
04/10/2025 23:53:32,Étudiant(e),Ingénieur - M1,Fiches papier,Peu satisfait(e),,Non ,Je consulte uniquement mon espace étudiant / ENT,iPhone,"Répétition espacée (SRS), Génération automatique de cartes (IA), Suivi de progression (widgets, statistiques)",Immédiatement,
05/10/2025 00:00:40,Étudiant(e),3ème année de licence aes parcours commercial international ,"Applications mobiles généralistes, Flashcards créées à la main",Moyennement satisfait(e),,Anki et wooflash ce sont 2 applications efficaces pour retenir les infos mais cela peut prendre du temps à faire. ,Je consulte uniquement mon espace étudiant / ENT,Android,"Quiz interactifs (questions à choix multiples), Exercices d’association (paires question-réponse), Génération automatique de cartes (IA), Prise en charge d’images et d’audio dans les cartes, Rappels de révision (notifications)",Immédiatement,
05/10/2025 00:25:10,Étudiant(e),marketing et business développement ,"Fiches papier, Flashcards créées à la main",Satisfait(e),,Non du tout ,"Je consulte uniquement mon espace étudiant / ENT, Je ne suis pas mes résultats régulièrement",iPhone,"Révision libre (sans algorithme imposé), Quiz interactifs (questions à choix multiples), Exercices d’association (paires question-réponse), Rappels de révision (notifications), Suivi de progression (widgets, statistiques)",Immédiatement,non 
05/10/2025 09:29:22,Étudiant(e),Bachelor,Applications mobiles généralistes,Satisfait(e),Difficile ,Non,J’utilise une application ou un site spécialisé,iPhone,"Génération automatique de cartes (IA), Rappels de révision (notifications)",Immédiatement,
05/10/2025 10:34:55,Étudiant(e),Master 1 Contrôle de Gestion et Audit Organisationnel ,Fiches papier,Satisfait(e),"Je commence par faire des fiches de révision, une fois terminé, je me met à les réviser jusqu’à que c’est appris.",Non jamais ,Je consulte uniquement mon espace étudiant / ENT,iPhone,Révision libre (sans algorithme imposé),Immédiatement,
05/10/2025 12:47:37,Étudiant(e),Master 1 économie managériales ,"Fiches papier, Plateformes web spécifiques",Moyennement satisfait(e),Le Droit la charge d’information à retenir ,Non,Je consulte uniquement mon espace étudiant / ENT,iPhone,"Quiz interactifs (questions à choix multiples), Rappels de révision (notifications), Suivi de progression (widgets, statistiques)",Immédiatement,
05/10/2025 12:52:18,Étudiant(e),DCG deuxième annee ,Fiches papier,Satisfait(e),pas difficile mais longue car beaucoup d’articles de loi a connaître par coeur  et j’ai revisé mon cours de droit ,non,Je consulte uniquement mon espace étudiant / ENT,iPhone,"Quiz interactifs (questions à choix multiples), Exercices d’association (paires question-réponse), Rappels de révision (notifications)",Immédiatement,
